player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 104022,Mikhail Youzhny    ,Gras               ,16,2,1,46,34,18,3,3,12
 104022,Mikhail Youzhny    ,Hard               ,22,4,1,42,29,13,4,2,11
 104122,Carlos Berlocq     ,Clay               ,47,1,1,104,72,8,13,11,17
 104180,Gilles Muller      ,Gras               ,103,28,5,64,62,18,1,1,17
 104198,Guillermo Garcia Lo,Clay               ,40,3,4,58,42,18,8,5,15
 104198,Guillermo Garcia Lo,Hard               ,50,6,3,34,27,16,4,2,11
 104229,Yen Hsun Lu        ,Clay               ,52,1,0,45,30,14,7,5,10
 104229,Yen Hsun Lu        ,Gras               ,47,9,5,94,70,21,15,12,22
 104229,Yen Hsun Lu        ,Hard               ,47,5,2,36,29,11,4,3,10
 104259,Philipp Kohlschreib,Clay               ,26,3,1,51,37,16,5,4,12
 104259,Philipp Kohlschreib,Gras               ,28,9,0,60,45,14,2,2,14
 104259,Philipp Kohlschreib,Hard               ,25,10,3,46,37,21,4,4,13
 104269,Fernando Verdasco  ,Clay               ,25,7,2,80,58,19,8,6,18
 104269,Fernando Verdasco  ,Hard               ,34,8,6,59,44,19,7,5,15
 104291,Malek Jaziri       ,Hard               ,103,2,2,43,30,23,7,6,11
 104312,Andreas Seppi      ,Clay               ,34,6,2,51,37,24,8,6,14
 104312,Andreas Seppi      ,Hard               ,40,7,4,60,43,24,12,8,16
 104338,Juan Monaco        ,Clay               ,76,0,3,60,39,9,12,8,13
 104338,Juan Monaco        ,Hard               ,43,2,2,65,48,18,3,1,16
 104468,Gilles Simon       ,Clay               ,30,3,2,35,28,15,3,2,11
 104468,Gilles Simon       ,Gras               ,44,8,1,54,46,26,0,0,16
 104468,Gilles Simon       ,Hard               ,28,12,5,68,51,32,11,8,19
 104471,Ivan Dodig         ,Clay               ,40,6,1,30,22,14,3,2,8
 104471,Ivan Dodig         ,Hard               ,49,8,4,65,50,16,4,2,16
 104527,Stanislas Wawrinka ,Clay               ,3,4,1,33,28,16,1,1,10
 104527,Stanislas Wawrinka ,Gras               ,3,18,2,56,47,25,3,2,16
 104527,Stanislas Wawrinka ,Hard               ,5,11,3,53,43,21,4,3,15
 104542,Jo Wilfried Tsonga ,Clay               ,13,8,1,52,40,16,4,3,14
 104542,Jo Wilfried Tsonga ,Gras               ,17,24,4,92,74,26,6,4,24
 104542,Jo Wilfried Tsonga ,Hard               ,12,13,3,48,39,19,4,3,13
 104545,John Isner         ,Clay               ,11,25,3,103,82,28,9,8,22
 104545,John Isner         ,Gras               ,11,29,1,74,62,20,4,4,17
 104545,John Isner         ,Hard               ,13,17,1,49,41,14,1,1,13
 104559,Teymuraz Gabashvili,Clay               ,58,3,2,51,36,20,6,3,14
 104559,Teymuraz Gabashvili,Hard               ,67,5,4,61,43,23,7,4,16
 104571,Marcos Baghdatis   ,Gras               ,119,13,5,77,59,27,5,2,21
 104571,Marcos Baghdatis   ,Hard               ,143,6,5,48,34,28,8,4,15
 104586,Lukas Rosol        ,Clay               ,50,4,1,33,26,12,2,2,9
 104586,Lukas Rosol        ,Gras               ,52,7,4,87,65,27,4,3,20
 104586,Lukas Rosol        ,Hard               ,47,7,6,55,45,24,4,3,17
 104594,Marinko Matosevic  ,Clay               ,66,5,0,87,61,34,10,6,23
 104594,Marinko Matosevic  ,Gras               ,58,11,2,74,56,22,8,6,19
 104594,Marinko Matosevic  ,Hard               ,77,3,3,48,33,19,6,4,12
 104597,Nicolas Almagro    ,Clay               ,20,6,1,38,32,14,2,2,10
 104597,Nicolas Almagro    ,Hard               ,19,13,0,29,27,13,0,0,10
 104607,Tomas Berdych      ,Clay               ,6,9,2,52,42,20,4,2,15
 104607,Tomas Berdych      ,Gras               ,6,24,2,73,58,30,3,2,20
 104607,Tomas Berdych      ,Hard               ,7,10,3,48,38,20,5,3,14
 104620,Simone Bolelli     ,Clay               ,156,2,1,66,46,17,5,2,15
 104620,Simone Bolelli     ,Gras               ,132,14,4,88,67,30,8,4,24
 104620,Simone Bolelli     ,Hard               ,85,8,5,67,57,25,4,1,22
 104655,Pablo Cuevas       ,Clay               ,136,5,1,44,37,9,1,0,12
 104655,Pablo Cuevas       ,Hard               ,34,5,1,24,20,9,2,2,6
 104660,Sergiy Stakhovsky  ,Gras               ,90,11,0,50,42,18,2,1,14
 104660,Sergiy Stakhovsky  ,Hard               ,83,1,1,41,30,12,3,2,11
 104665,Pablo Andujar      ,Clay               ,36,5,4,67,41,25,11,6,16
 104665,Pablo Andujar      ,Hard               ,48,2,2,54,39,13,4,2,14
 104719,Marcel Granollers  ,Clay               ,37,4,2,56,39,17,8,5,14
 104719,Marcel Granollers  ,Gras               ,30,19,1,103,71,34,11,9,22
 104719,Marcel Granollers  ,Hard               ,42,6,6,84,68,28,8,6,22
 104731,Kevin Anderson     ,Clay               ,20,8,2,42,35,12,2,1,12
 104731,Kevin Anderson     ,Gras               ,18,21,4,78,63,15,8,6,19
 104731,Kevin Anderson     ,Hard               ,20,15,4,67,51,18,6,4,16
 104735,Tobias Kamke       ,Clay               ,106,7,2,84,62,24,4,3,18
 104745,Rafael Nadal       ,Clay               ,1,2,1,54,39,12,6,4,13
 104745,Rafael Nadal       ,Gras               ,1,9,2,82,61,18,7,5,19
 104745,Rafael Nadal       ,Hard               ,1,4,2,50,39,13,4,3,12
 104755,Richard Gasquet    ,Clay               ,13,4,3,62,48,18,6,4,15
